method,seed,tasks,delegated_tasks,completion_pct,delegated_completion_pct,deadline_satisfaction_pct,redelegation_rate_pct,ls_target_accuracy_pct,to_target_accuracy_pct,workload_stdev,assignment_f1,assignment_f3,assignment_f4
random,42,2000,900,88.8,75.1111111111111,82.05,24.88888888888889,26.217228464419474,22.59083728278041,0.18390710422350434,447,464,466
random,43,2000,900,89.7,77.11111111111111,82.69999999999999,22.88888888888889,27.75800711743772,24.717285945072696,0.18223820548571665,455,446,485
random,44,2000,900,89.60000000000001,76.88888888888889,82.1,23.11111111111111,25.650557620817843,25.198098256735342,0.1821974935472555,481,448,464
random,45,2000,900,87.15,71.44444444444444,79.55,28.555555555555557,23.236514522821576,21.547799696509866,0.18603116346472778,436,497,454
random,46,2000,900,87.55,72.33333333333334,80.2,27.666666666666668,22.761194029850746,24.525316455696203,0.1843101785854622,472,489,447
round_robin,42,2000,900,88.75,75.0,82.05,25.0,26.071428571428573,25.967741935483872,0.18228449389972876,465,465,465
round_robin,43,2000,900,88.75,75.0,81.8,25.0,23.863636363636363,25.471698113207548,0.18228449389972876,465,465,465
round_robin,44,2000,900,88.75,75.0,81.3,25.0,27.075812274368232,24.558587479935795,0.18228449389972876,465,465,465
round_robin,45,2000,900,88.75,75.0,81.2,25.0,25.18248175182482,25.079872204472842,0.18228449389972876,465,465,465
round_robin,46,2000,900,88.75,75.0,81.05,25.0,26.41509433962264,25.03937007874016,0.18228449389972876,465,465,465
threshold,42,2000,900,100.0,100.0,93.10000000000001,0.0,23.214285714285715,61.7741935483871,0.1560453937022627,800,240,440
threshold,43,2000,900,100.0,100.0,92.9,0.0,23.484848484848484,62.42138364779875,0.1560453937022627,800,240,440
threshold,44,2000,900,100.0,100.0,92.35,0.0,20.938628158844764,61.63723916532905,0.1560453937022627,800,240,440
threshold,45,2000,900,100.0,100.0,92.10000000000001,0.0,22.99270072992701,61.980830670926515,0.1560453937022627,800,240,440
threshold,46,2000,900,100.0,100.0,91.85,0.0,22.264150943396228,62.519685039370074,0.1560453937022627,800,240,440
capacity,42,2000,900,100.0,100.0,93.55,0.0,100.0,77.09677419354838,0.15223693755611487,718,240,591
capacity,43,2000,900,100.0,100.0,93.4,0.0,100.0,74.52830188679245,0.15293660872070347,714,240,578
capacity,44,2000,900,100.0,100.0,93.0,0.0,100.0,75.60192616372392,0.15338098977079032,711,240,586
capacity,45,2000,900,100.0,100.0,92.65,0.0,100.0,74.12140575079871,0.1534522393581871,704,240,589
capacity,46,2000,900,100.0,100.0,92.55,0.0,100.0,86.77165354330708,0.1520941964750389,791,240,576
